일시,구군,추정_일강수량(mm)
2016-03-25,달서구,5.9434422459336185
2016-03-25,달성군,4.903648883055917
2016-03-25,동구,6.800056421141828
2016-03-25,북구,5.132084847226501
2016-03-25,서구,5.749565986464577
2016-03-25,수성구,6.567387677871174
2016-03-25,중구,6.307150955578908
2016-03-26,군위군,1.6567662485044587
2016-03-26,남구,1.3503688253908324
2016-03-26,달서구,3.1493638886151656
2016-03-26,달성군,4.291674013669667
2016-03-26,동구,0.5179343419917296
2016-03-26,북구,0.060407470867242234
2016-03-26,서구,1.5431434832031676
2016-03-26,수성구,0.6538353143528607
2016-03-26,중구,0.6381577944012127
2016-03-27,군위군,0.0
2016-03-27,남구,0.0
2016-03-27,달서구,0.0
2016-03-27,달성군,0.0
2016-03-27,동구,0.0
2016-03-27,북구,0.0
2016-03-27,서구,0.0
2016-03-27,수성구,0.0
2016-03-27,중구,0.0
2016-03-28,군위군,0.0
2016-03-28,남구,0.0
2016-03-28,달서구,0.0
2016-03-28,달성군,0.0
2016-03-28,동구,0.0
2016-03-28,북구,0.0
2016-03-28,서구,0.0
2016-03-28,수성구,0.0
2016-03-28,중구,0.0
2016-03-29,군위군,0.0
2016-03-29,남구,0.0
2016-03-29,달서구,0.0
2016-03-29,달성군,0.0
2016-03-29,동구,0.0
2016-03-29,북구,0.0
2016-03-29,서구,0.0
2016-03-29,수성구,0.0
2016-03-29,중구,0.0
2016-03-30,군위군,0.0
2016-03-30,남구,0.0
2016-03-30,달서구,0.0
2016-03-30,달성군,0.0
2016-03-30,동구,0.0
2016-03-30,북구,0.0
2016-03-30,서구,0.0
2016-03-30,수성구,0.0
2016-03-30,중구,0.0
2016-03-31,군위군,0.0
2016-03-31,남구,0.0
2016-03-31,달서구,0.0
2016-03-31,달성군,0.0
2016-03-31,동구,0.0
2016-03-31,북구,0.0
2016-03-31,서구,0.0
2016-03-31,수성구,0.0
2016-03-31,중구,0.0
2016-04-01,군위군,0.0
2016-04-01,남구,0.0
2016-04-01,달서구,0.0
2016-04-01,달성군,0.0
2016-04-01,동구,0.0
2016-04-01,북구,0.0
2016-04-01,서구,0.0
2016-04-01,수성구,0.0
2016-04-01,중구,0.0
2016-04-02,군위군,0.0
2016-04-02,남구,0.0
2016-04-02,달서구,0.0
2016-04-02,달성군,0.0
2016-04-02,동구,0.0
2016-04-02,북구,0.0
2016-04-02,서구,0.0
2016-04-02,수성구,0.0
2016-04-02,중구,0.0
2016-04-03,군위군,18.82317636834508
2016-04-03,남구,18.211599907339718
2016-04-03,달서구,18.16312415792378
2016-04-03,달성군,20.88388950579578
2016-04-03,동구,17.6557993476727
2016-04-03,북구,18.902010938009468
2016-04-03,서구,18.38886843703854
2016-04-03,수성구,17.845081336823096
2016-04-03,중구,18.02760419386972
2016-04-04,군위군,1.9321831342043718
2016-04-04,남구,1.8696652415815647
2016-04-04,달서구,1.5831299097526892
2016-04-04,달성군,2.0450120043640787
2016-04-04,동구,1.99321079217379
2016-04-04,북구,1.9968388801264365
2016-04-04,서구,1.8097230864903537
2016-04-04,수성구,1.9731800041363545
